iter	Passed	Remaining
0	2	207
1	3	189
2	5	175
3	6	158
4	8	161
5	9	155
6	11	157
7	13	152
8	14	147
9	16	145
10	17	143
11	19	140
12	20	139
13	22	136
14	23	135
15	25	134
16	27	131
17	28	130
18	30	128
19	31	125
20	33	124
21	34	122
22	36	121
23	37	118
24	39	117
25	40	115
26	42	113
27	43	111
28	44	110
29	46	108
30	48	106
31	49	105
32	51	104
33	53	103
34	55	102
35	56	100
36	58	99
37	59	97
38	61	95
39	62	94
40	65	94
41	66	91
42	68	90
43	69	88
44	71	86
45	72	85
46	74	83
47	76	82
48	77	80
49	79	79
50	80	77
51	82	75
52	83	74
53	84	72
54	86	70
55	87	68
56	89	67
57	90	65
58	92	64
59	93	62
60	95	60
61	96	59
62	97	57
63	99	55
64	100	54
65	102	52
66	103	50
67	104	49
68	106	47
69	107	46
70	109	44
71	110	42
72	111	41
73	113	39
74	114	38
75	115	36
76	117	35
77	118	33
78	119	31
79	121	30
80	123	28
81	124	27
82	125	25
83	127	24
84	129	22
85	130	21
86	132	19
87	133	18
88	135	16
89	136	15
90	137	13
91	138	12
92	140	10
93	141	9
94	142	7
95	144	6
96	145	4
97	146	2
98	147	1
99	149	0
