iter	Passed	Remaining
0	160	160391
1	163	81682
2	166	55215
3	168	41958
4	170	33985
5	174	28896
6	176	25043
7	178	22189
8	181	19957
9	183	18153
10	185	16689
11	188	15536
12	190	14491
13	193	13606
14	195	12833
15	197	12152
16	200	11604
17	204	11158
18	207	10715
19	209	10268
20	211	9867
21	213	9507
22	216	9193
23	219	8911
24	221	8646
25	223	8386
26	225	8143
27	228	7921
28	230	7718
29	233	7544
30	235	7353
31	237	7189
32	239	7025
33	242	6880
34	244	6747
35	247	6618
36	249	6491
37	251	6376
38	254	6261
39	256	6152
40	257	6032
41	259	5924
42	261	5812
43	262	5697
44	263	5587
45	264	5481
46	265	5379
47	266	5284
48	267	5199
49	268	5110
50	270	5025
51	271	4943
52	272	4866
53	274	4808
54	276	4743
55	277	4677
56	279	4616
57	280	4555
58	281	4490
59	282	4426
60	283	4364
61	284	4310
62	286	4263
63	288	4218
64	291	4186
65	292	4144
66	294	4103
67	296	4059
68	297	4017
69	299	3972
70	300	3928
71	301	3886
72	304	3872
73	306	3837
74	308	3798
75	311	3783
76	312	3749
77	314	3714
78	316	3684
79	317	3654
80	320	3635
81	322	3612
82	323	3574
83	324	3543
84	326	3514
85	328	3492
86	330	3464
87	331	3435
88	333	3416
89	336	3399
90	337	3376
91	339	3352
92	341	3333
93	343	3307
94	344	3283
95	347	3268
96	349	3252
97	351	3231
98	352	3211
99	354	3190
100	356	3170
101	357	3151
102	360	3135
103	361	3113
104	362	3091
105	365	3085
106	367	3068
107	369	3048
108	371	3033
109	374	3026
110	375	3007
111	379	3007
112	381	2993
113	383	2977
114	384	2961
115	385	2941
116	386	2919
117	388	2900
118	389	2882
119	390	2862
120	391	2843
121	392	2822
122	395	2820
123	396	2803
124	397	2785
125	398	2767
126	399	2748
127	400	2730
128	402	2716
129	403	2699
130	404	2681
131	405	2664
132	406	2647
133	407	2631
134	410	2628
135	411	2612
136	412	2596
137	413	2582
138	414	2568
139	415	2554
140	416	2539
141	417	2522
142	418	2508
143	419	2496
144	421	2484
145	422	2471
146	424	2464
147	426	2452
148	427	2442
149	428	2428
150	429	2415
151	430	2401
152	431	2387
153	432	2376
154	434	2366
155	435	2353
156	435	2340
157	436	2328
158	438	2319
159	441	2319
160	443	2310
161	444	2301
162	446	2294
163	448	2284
164	449	2273
165	450	2263
166	452	2255
167	453	2244
168	455	2241
169	457	2234
170	459	2225
171	460	2215
172	461	2205
173	462	2195
174	463	2185
175	465	2179
176	466	2168
177	467	2158
178	468	2147
179	470	2141
180	472	2136
181	473	2126
182	473	2115
183	474	2105
184	475	2095
185	477	2088
186	478	2079
187	479	2070
188	480	2060
189	481	2051
190	482	2045
191	484	2038
192	486	2033
193	487	2024
194	488	2015
195	489	2008
196	490	2000
197	491	1991
198	492	1982
199	493	1974
200	494	1966
201	496	1960
202	497	1952
203	498	1944
204	500	1939
205	502	1934
206	503	1928
207	504	1921
208	505	1913
209	506	1905
210	507	1897
211	508	1890
212	509	1883
213	510	1875
214	511	1867
215	512	1859
216	513	1851
217	513	1843
218	516	1840
219	517	1833
220	518	1826
221	519	1819
222	519	1811
223	520	1804
224	521	1797
225	522	1791
226	524	1784
227	525	1777
228	525	1770
229	527	1764
230	527	1757
231	529	1751
232	531	1749
233	532	1743
234	533	1736
235	534	1730
236	535	1723
237	536	1717
238	537	1711
239	538	1705
240	539	1699
241	540	1693
242	541	1687
243	542	1681
244	543	1675
245	544	1669
246	546	1664
247	547	1659
248	548	1653
249	549	1647
250	550	1641
251	551	1636
252	552	1630
253	553	1624
254	554	1619
255	555	1613
256	556	1607
257	556	1601
258	557	1595
259	558	1590
260	560	1586
261	561	1582
262	562	1576
263	563	1571
264	564	1567
265	566	1561
266	567	1556
267	568	1551
268	569	1547
269	570	1542
270	571	1537
271	572	1532
272	574	1529
273	575	1525
274	577	1521
275	578	1517
276	579	1512
277	580	1508
278	581	1503
279	582	1499
280	584	1494
281	585	1490
282	586	1485
283	587	1481
284	588	1476
285	590	1474
286	591	1470
287	593	1466
288	594	1463
289	595	1458
290	596	1454
291	598	1450
292	599	1445
293	600	1441
294	601	1437
295	602	1432
296	603	1428
297	605	1426
298	606	1422
299	608	1418
300	609	1414
301	610	1410
302	611	1405
303	612	1401
304	612	1396
305	613	1392
306	614	1387
307	615	1383
308	616	1379
309	617	1374
310	618	1370
311	620	1368
312	621	1364
313	622	1360
314	623	1355
315	624	1351
316	625	1346
317	625	1342
318	626	1338
319	627	1333
320	628	1329
321	629	1325
322	630	1321
323	631	1316
324	632	1312
325	633	1308
326	633	1304
327	635	1301
328	636	1298
329	637	1294
330	638	1290
331	639	1286
332	640	1283
333	641	1279
334	642	1275
335	643	1271
336	644	1268
337	645	1264
338	646	1260
339	647	1256
340	648	1252
341	649	1248
342	650	1246
343	651	1243
344	652	1239
345	653	1236
346	654	1232
347	655	1228
348	656	1225
349	657	1221
350	658	1218
351	659	1214
352	660	1211
353	661	1207
354	662	1204
355	663	1200
356	665	1197
357	666	1195
358	667	1192
359	668	1188
360	669	1185
361	670	1181
362	671	1177
363	672	1174
364	673	1170
365	673	1167
366	674	1163
367	675	1160
368	676	1156
369	677	1153
370	678	1149
371	679	1146
372	680	1144
373	682	1142
374	683	1139
375	684	1136
376	686	1133
377	687	1131
378	688	1127
379	689	1124
380	691	1122
381	692	1120
382	693	1117
383	694	1114
384	697	1113
385	698	1111
386	699	1108
387	700	1105
388	701	1102
389	702	1099
390	704	1097
391	705	1094
392	706	1091
393	708	1089
394	709	1086
395	710	1083
396	712	1082
397	713	1079
398	714	1076
399	715	1073
400	717	1071
401	718	1068
402	719	1066
403	720	1063
404	722	1061
405	724	1059
406	724	1056
407	726	1054
408	728	1052
409	730	1050
410	731	1048
411	732	1045
412	733	1043
413	735	1041
414	736	1038
415	738	1036
416	740	1034
417	743	1035
418	745	1033
419	746	1031
420	748	1029
421	749	1026
422	750	1024
423	752	1021
424	753	1018
425	754	1017
426	755	1014
427	757	1012
428	759	1010
429	761	1008
430	762	1006
431	763	1004
432	764	1001
433	765	998
434	767	996
435	768	994
436	769	991
437	770	989
438	772	987
439	774	985
440	775	982
